epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-25,95,PA,Marabá,1504208,city,3386,1212.10386,133,132,0,0.039,279349,True,False
26,2020-06-24,94,PA,Marabá,1504208,city,3253,1164.49316,142,132,3,0.0406,279349,False,False
26,2020-06-23,93,PA,Marabá,1504208,city,3111,1113.66069,159,129,3,0.0415,279349,False,False
26,2020-06-22,92,PA,Marabá,1504208,city,2952,1056.74264,64,126,1,0.0427,279349,False,False
26,2020-06-21,91,PA,Marabá,1504208,city,2888,1033.83223,157,125,0,0.0433,279349,False,False
25,2020-06-20,90,PA,Marabá,1504208,city,2731,977.63013,175,125,2,0.0458,279349,False,False
25,2020-06-19,89,PA,Marabá,1504208,city,2556,914.98448,9,123,1,0.0481,279349,False,False
25,2020-06-18,88,PA,Marabá,1504208,city,2547,911.76271,116,122,5,0.0479,279349,False,False
25,2020-06-17,87,PA,Marabá,1504208,city,2431,870.23759,127,117,1,0.0481,279349,False,False
25,2020-06-16,86,PA,Marabá,1504208,city,2304,824.77474,97,116,0,0.0503,279349,False,False
25,2020-06-15,85,PA,Marabá,1504208,city,2207,790.05115,51,116,0,0.0526,279349,False,False
25,2020-06-14,84,PA,Marabá,1504208,city,2156,771.79442,57,116,0,0.0538,279349,False,False
24,2020-06-13,83,PA,Marabá,1504208,city,2099,751.38984,231,116,0,0.0553,279349,False,False
24,2020-06-12,82,PA,Marabá,1504208,city,1868,668.69758,321,116,0,0.0621,279349,False,False
24,2020-06-11,81,PA,Marabá,1504208,city,1547,553.78756,84,116,3,0.075,279349,False,False
24,2020-06-10,80,PA,Marabá,1504208,city,1463,523.71764,178,113,4,0.0772,279349,False,False
24,2020-06-09,79,PA,Marabá,1504208,city,1285,459.99807,361,109,1,0.0848,279349,False,False
24,2020-06-08,78,PA,Marabá,1504208,city,924,330.76904,127,108,5,0.1169,279349,False,False
24,2020-06-07,77,PA,Marabá,1504208,city,797,285.30619,1,103,0,0.1292,279349,False,False
23,2020-06-06,76,PA,Marabá,1504208,city,796,284.94822,0,103,0,0.1294,279349,False,False
23,2020-06-05,75,PA,Marabá,1504208,city,796,284.94822,55,103,2,0.1294,279349,False,False
23,2020-06-04,74,PA,Marabá,1504208,city,741,265.25959,205,101,2,0.1363,279349,False,False
23,2020-06-03,73,PA,Marabá,1504208,city,536,191.87468,141,99,4,0.1847,279349,False,False
23,2020-06-02,72,PA,Marabá,1504208,city,395,141.40018,3,95,1,0.2405,279349,False,False
23,2020-06-01,71,PA,Marabá,1504208,city,392,140.32626,14,94,6,0.2398,279349,False,False
23,2020-05-31,70,PA,Marabá,1504208,city,378,135.31461,0,88,0,0.2328,279349,False,False
22,2020-05-30,69,PA,Marabá,1504208,city,378,135.31461,11,88,0,0.2328,279349,False,False
22,2020-05-29,68,PA,Marabá,1504208,city,367,131.37688,6,88,5,0.2398,279349,False,False
22,2020-05-28,67,PA,Marabá,1504208,city,361,129.22903,19,83,4,0.2299,279349,False,False
22,2020-05-27,66,PA,Marabá,1504208,city,342,122.4275,1,79,2,0.231,279349,False,False
22,2020-05-26,65,PA,Marabá,1504208,city,341,122.06953,7,77,5,0.2258,279349,False,False
22,2020-05-25,64,PA,Marabá,1504208,city,334,119.5637,15,72,9,0.2156,279349,False,False
22,2020-05-24,63,PA,Marabá,1504208,city,319,114.19407,0,63,0,0.1975,279349,False,False
21,2020-05-23,62,PA,Marabá,1504208,city,319,114.19407,9,63,0,0.1975,279349,False,False
21,2020-05-22,61,PA,Marabá,1504208,city,310,110.9723,26,63,10,0.2032,279349,False,False
21,2020-05-21,60,PA,Marabá,1504208,city,284,101.66494,4,53,0,0.1866,279349,False,False
21,2020-05-20,59,PA,Marabá,1504208,city,280,100.23304,73,53,6,0.1893,279349,False,False
21,2020-05-19,58,PA,Marabá,1504208,city,207,74.10086,0,47,0,0.2271,279349,False,True
21,2020-05-18,57,PA,Marabá,1504208,city,207,74.10086,5,47,10,0.2271,279349,False,False
21,2020-05-17,56,PA,Marabá,1504208,city,202,72.31098,1,37,12,0.1832,279349,False,False
20,2020-05-16,55,PA,Marabá,1504208,city,201,71.95301,9,25,0,0.1244,279349,False,False
20,2020-05-15,54,PA,Marabá,1504208,city,192,68.73123,9,25,0,0.1302,279349,False,False
20,2020-05-14,53,PA,Marabá,1504208,city,183,65.50945,18,25,1,0.1366,279349,False,False
20,2020-05-13,52,PA,Marabá,1504208,city,165,59.0659,2,24,0,0.1455,279349,False,False
20,2020-05-12,51,PA,Marabá,1504208,city,163,58.34995,37,24,0,0.1472,279349,False,False
20,2020-05-11,50,PA,Marabá,1504208,city,126,45.10487,5,24,2,0.1905,279349,False,False
20,2020-05-10,49,PA,Marabá,1504208,city,121,43.31499,26,22,0,0.1818,279349,False,False
19,2020-05-09,48,PA,Marabá,1504208,city,95,34.00764,6,22,0,0.2316,279349,False,False
19,2020-05-08,47,PA,Marabá,1504208,city,89,31.85979,9,22,11,0.2472,279349,False,False
19,2020-05-07,46,PA,Marabá,1504208,city,80,28.63801,20,11,0,0.1375,279349,False,False
19,2020-05-06,45,PA,Marabá,1504208,city,60,21.47851,1,11,0,0.1833,279349,False,False
19,2020-05-05,44,PA,Marabá,1504208,city,59,21.12053,10,11,5,0.1864,279349,False,False
19,2020-05-04,43,PA,Marabá,1504208,city,49,17.54078,4,6,0,0.1224,279349,False,False
19,2020-05-03,42,PA,Marabá,1504208,city,45,16.10888,0,6,0,0.1333,279349,False,False
18,2020-05-02,41,PA,Marabá,1504208,city,45,16.10888,3,6,0,0.1333,279349,False,False
18,2020-05-01,40,PA,Marabá,1504208,city,42,15.03496,6,6,0,0.1429,279349,False,False
